species,feature,n_healthy,n_high,healthy_median,low_median,mid_median,high_median,effect_size_high_vs_healthy
maha_undupiyaliya,colour_pct_necrotic,30,12,2.275,6.716,2.219,6.965,1.07
wal_bilin,colour_pct_chlorotic,30,12,0.023,0.0,0.003,0.203,1.09
siyambala,ldsi_hole_sub,30,12,43.458,31.73,30.0,24.291,-1.11
kattakumanjal,texture_h_glcm_contrast_mean,30,12,7.648,7.905,7.38,9.265,1.12
kasthuri_dehi,spot_area_ratio,30,12,0.015,0.106,0.053,0.038,1.13
kasthuri_dehi,spot_mean_size,30,12,33.222,98.524,143.717,91.333,1.13
kasthuri_dehi,ldsi_hole_sub,30,12,0.0,11.581,12.517,10.832,1.13
kasthuri_dehi,ldsi_boundary_sub,30,12,1.553,1.579,1.995,1.907,1.13
nil_awariya,ldsi_scar_sub,30,12,41.091,33.602,29.69,30.553,-1.14
nil_awariya,scar_tissue_ratio,30,12,0.411,0.336,0.297,0.306,-1.14
kalawal,ldsi_scar_sub,30,12,21.405,31.046,29.669,33.704,1.15
kalawal,scar_tissue_ratio,30,12,0.214,0.31,0.297,0.337,1.15
wal_bilin,necrotic_spot_count,30,12,2.0,1.0,3.0,5.5,1.17
maha_undupiyaliya,ldsi_colour_sub,30,12,0.76,2.256,0.808,2.499,1.19
kalawal,colour_pct_pale_patch,30,12,0.111,0.189,0.214,0.288,1.2
wal_kollu,spot_count,30,12,1.0,1.0,3.5,5.5,1.2
ranawara,deform_luminance_std,30,12,35.695,34.282,30.898,29.623,-1.26
wal_bilin,colour_pct_necrotic,30,12,1.023,0.463,1.932,2.602,1.27
kathurupila,deform_luminance_std,30,12,29.939,30.943,33.773,34.366,1.27
nil_awariya,deform_luminance_std,30,12,35.519,29.198,28.747,30.107,-1.29
kasthuri_dehi,deform_width_profile_roughness,30,12,0.066,0.063,0.061,0.085,1.31
siyambala,boundary_contour_roughness,30,12,1.403,1.32,1.343,1.247,-1.33
wal_bilin,scar_tissue_ratio,30,12,0.049,0.021,0.077,0.11,1.38
wal_bilin,ldsi_scar_sub,30,12,4.873,2.083,7.716,11.015,1.38
siyambala,hole_count,30,12,17.0,11.5,9.5,6.5,-1.4
siyambala,spot_count,30,12,44.0,35.0,44.0,18.0,-1.41
wal_bilin,ldsi_colour_sub,30,12,0.369,0.169,0.649,0.972,1.47
nil_awariya,colour_pct_chlorotic,30,12,0.007,0.034,0.012,0.143,1.48
wal_bilin,boundary_contour_roughness,30,12,1.104,1.11,1.116,1.126,1.48
kasthuri_dehi,boundary_contour_roughness,30,12,1.097,1.106,1.116,1.112,1.48
wal_bilin,hole_count,30,12,1.5,0.0,1.0,3.0,1.5
kathurupila,hole_count,30,12,6.5,7.5,9.5,12.5,1.5
siyambala,necrotic_spot_count,30,12,43.0,34.5,43.5,14.0,-1.53
siyambala,deform_width_profile_roughness,30,12,0.143,0.154,0.121,0.2,1.54
maha_undupiyaliya,spot_density_per_1000px,30,12,0.13,0.464,0.276,0.465,1.56
beli,texture_h_lbp_entropy,30,12,3.361,3.363,3.369,3.545,1.58
kathurupila,colour_pct_pale_patch,30,12,0.286,0.431,0.469,0.682,1.58
beli,hole_area_ratio,30,12,0.002,0.002,0.006,0.007,1.59
siyambala,texture_h_glcm_contrast_mean,30,12,22.416,18.759,17.404,17.595,-1.6
kasthuri_dehi,colour_pct_pale_patch,30,12,0.035,0.147,0.04,0.125,1.6
wal_bilin,spot_density_per_1000px,30,12,0.135,0.057,0.152,0.374,1.6
wal_kollu,ldsi_hole_sub,30,12,0.0,8.981,14.943,19.213,1.62
kattakumanjal,boundary_contour_roughness,30,12,1.169,1.21,1.214,1.242,1.72
kasthuri_dehi,hole_area_ratio,30,12,0.0,0.002,0.003,0.002,1.74
wal_bilin,colour_pct_pale_patch,30,12,0.016,0.039,0.025,0.048,1.75
wal_bilin,spot_area_ratio,30,12,0.003,0.001,0.007,0.015,1.83
